BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,289.73,212.11,116.87,103.22,873.33,636.94,0.18,0.11,307.23,236.2,39.64,39.0,48.82,49.5,432.29,290.65,43.9,38.17,17.8,15.91,70.91,67.53,17.11,10.85,357.11,275.15,9.62,11.0,1,4,0,50,29,158,0.133,47,7,8,59,6,2,6,1,0
1,289.73,194.4,116.87,82.65,873.33,611.75,0.18,0.13,307.23,224.19,39.64,25.5,48.82,32.81,432.29,323.94,43.9,45.88,17.8,11.4,70.91,79.0,17.11,12.73,357.11,271.71,9.62,17.0,0,4,0,50,23,174,0.155,48,3,7,85,7,3,4,3,0
3,289.73,192.83,116.87,88.44,873.33,545.72,0.18,0.09,307.23,217.8,39.64,35.83,48.82,43.33,432.29,272.8,43.9,39.18,17.8,12.12,70.91,58.83,17.11,5.5,357.11,284.13,9.62,11.0,0,3,0,30,23,117,0.060,29,4,5,51,4,1,0,1,0
2,289.73,197.95,116.87,85.53,873.33,604.58,0.18,0.18,307.23,231.07,39.64,25.25,48.82,35.69,432.29,291.56,43.9,24.69,17.8,10.92,70.91,63.57,17.11,7.73,357.11,244.56,9.62,12.12,0,3,0,47,22,164,0.152,42,3,9,76,1,2,4,0,54.0
0,289.73,241.0,116.87,108.33,873.33,653.24,0.18,0.11,307.23,250.0,39.64,50.17,48.82,43.19,432.29,292.05,43.9,37.38,17.8,27.27,70.91,64.15,17.11,10.25,357.11,340.5,9.62,16.0,1,3,0,46,8,101,0.376,45,4,10,49,3,3,0,0,53.0
0,289.73,201.67,116.87,97.71,873.33,618.0,0.18,0.08,307.23,247.56,39.64,37.17,48.82,47.54,432.29,328.71,43.9,31.36,17.8,11.17,70.91,66.73,17.11,12.64,357.11,297.91,9.62,10.75,0,4,0,45,18,165,0.164,40,3,7,78,8,5,8,0,57.0
0,289.73,244.74,116.87,100.89,873.33,677.84,0.18,0.16,307.23,288.33,39.64,31.83,48.82,48.14,432.29,340.12,43.9,32.33,17.8,12.83,70.91,106.58,17.11,14.0,357.11,388.27,9.62,15.11,0,4,0,59,20,182,0.214,50,4,4,79,5,0,14,4,70.0
2,289.73,234.33,116.87,88.83,873.33,639.0,0.18,0.21,307.23,276.71,39.64,34.08,48.82,52.36,432.29,325.13,43.9,27.79,17.8,12.44,70.91,87.25,17.11,12.73,357.11,322.56,9.62,12.25,0,4,0,51,14,128,0.289,42,6,5,61,13,1,14,3,65.0
1,289.73,181.83,116.87,77.94,873.33,536.11,0.18,0.12,307.23,214.36,39.64,24.71,48.82,29.4,432.29,256.12,43.9,28.92,17.8,15.89,70.91,53.15,17.11,5.38,357.11,237.15,9.62,11.67,1,3,0,51,15,119,0.303,48,4,4,62,1,3,8,1,62.0
3,289.73,258.11,116.87,108.44,873.33,796.11,0.18,0.08,307.23,294.0,39.64,35.14,48.82,46.2,432.29,381.53,43.9,39.57,17.8,9.73,70.91,92.71,17.11,9.08,357.11,346.68,9.62,9.0,1,5,0,64,23,183,0.224,64,7,5,82,4,0,10,3,76.0
1,289.73,227.94,116.87,105.78,873.33,641.94,0.18,0.17,307.23,252.87,39.64,32.93,48.82,45.56,432.29,302.88,43.9,35.67,17.8,13.45,70.91,91.92,17.11,12.33,357.11,311.47,9.62,12.22,1,5,0,62,27,189,0.185,58,9,5,84,4,0,4,3,73.0
0,289.73,255.06,116.87,115.69,873.33,746.56,0.18,0.07,307.23,269.71,39.64,37.21,48.82,52.93,432.29,359.79,43.9,44.18,17.8,13.56,70.91,110.18,17.11,6.55,357.11,373.18,9.62,9.9,1,4,0,56,20,162,0.222,53,4,11,74,4,2,6,3,65.0
1,289.73,245.35,116.87,116.47,873.33,716.94,0.18,0.15,307.23,241.56,39.64,35.0,48.82,48.57,432.29,318.12,43.9,40.92,17.8,19.5,70.91,74.85,17.11,13.33,357.11,329.03,9.62,16.83,1,3,0,36,15,100,0.210,34,9,5,54,5,0,8,1,49.0
0,289.73,288.6,116.87,118.8,873.33,820.07,0.18,0.12,307.23,329.0,39.64,41.4,48.82,48.27,432.29,405.31,43.9,45.64,17.8,24.5,70.91,90.5,17.11,17.09,357.11,389.88,9.62,12.43,1,5,0,66,25,192,0.214,61,8,6,92,0,3,12,4,83.0
1,289.73,264.31,116.87,121.44,873.33,721.81,0.18,0.21,307.23,279.64,39.64,47.82,48.82,81.64,432.29,325.36,43.9,44.67,17.8,21.83,70.91,79.0,17.11,24.7,357.11,357.93,9.62,16.67,1,5,0,63,26,173,0.214,56,9,9,78,5,2,12,0,80.0
0,289.73,239.29,116.87,107.82,873.33,697.29,0.18,0.18,307.23,284.0,39.64,38.54,48.82,58.42,432.29,366.86,43.9,40.75,17.8,19.33,70.91,70.55,17.11,13.2,357.11,336.13,9.62,21.43,1,3,0,39,17,131,0.168,33,5,0,68,5,3,4,5,49.0
0,289.73,199.6,116.87,95.45,873.33,591.85,0.18,0.15,307.23,246.53,39.64,46.0,48.82,60.38,432.29,296.18,43.9,40.0,17.8,18.9,70.91,67.67,17.11,18.36,357.11,321.19,9.62,20.0,1,3,0,41,9,105,0.305,36,5,4,58,1,1,10,3,52.0
0,289.73,246.59,116.87,110.71,873.33,690.94,0.18,0.22,307.23,224.82,39.64,52.64,48.82,56.57,432.29,276.71,43.9,44.38,17.8,21.0,70.91,54.0,17.11,17.29,357.11,322.09,9.62,6.46,1,4,0,45,21,162,0.148,42,3,3,87,2,0,8,0,52.0
0,289.73,313.4,116.87,125.27,873.33,832.47,0.18,0.23,307.23,311.07,39.64,42.08,48.82,56.57,432.29,363.29,43.9,39.25,17.8,18.73,70.91,88.33,17.11,23.17,357.11,401.29,9.62,8.75,0,3,0,30,18,105,0.114,27,2,1,50,6,1,4,1,35.0
0,289.73,246.72,116.87,100.11,873.33,683.94,0.18,0.12,307.23,293.0,39.64,53.0,48.82,64.55,432.29,368.07,43.9,50.7,17.8,25.12,70.91,105.0,17.11,22.22,357.11,406.93,9.62,12.6,0,5,0,64,18,192,0.240,57,2,5,80,7,0,16,2,74.0
1,289.73,245.35,116.87,116.47,873.33,716.94,0.18,0.15,307.23,241.56,39.64,35.0,48.82,48.57,432.29,318.12,43.9,40.92,17.8,19.5,70.91,74.85,17.11,13.33,357.11,329.03,9.62,16.83,1,3,0,47,13,131,0.260,43,1,5,55,4,0,8,0,52.0
0,289.73,288.6,116.87,118.8,873.33,820.07,0.18,0.12,307.23,329.0,39.64,41.4,48.82,48.27,432.29,405.31,43.9,45.64,17.8,24.5,70.91,90.5,17.11,17.09,357.11,389.88,9.62,12.43,1,3,0,47,10,136,0.272,42,5,4,77,4,1,10,1,58.0
1,289.73,239.29,116.87,107.82,873.33,697.29,0.18,0.18,307.23,284.0,39.64,38.54,48.82,58.42,432.29,366.86,43.9,40.75,17.8,19.33,70.91,70.55,17.11,13.2,357.11,336.13,9.62,21.43,1,3,0,44,11,108,0.306,39,4,3,55,0,1,14,0,56.0
2,289.73,264.31,116.87,121.44,873.33,721.81,0.18,0.21,307.23,279.64,39.64,47.82,48.82,81.64,432.29,325.36,43.9,44.67,17.8,21.83,70.91,79.0,17.11,24.7,357.11,357.93,9.62,16.67,1,4,0,41,11,117,0.256,41,9,3,62,3,4,4,0,56.0
0,289.73,246.59,116.87,110.71,873.33,690.94,0.18,0.22,307.23,224.82,39.64,52.64,48.82,56.57,432.29,276.71,43.9,44.38,17.8,21.0,70.91,54.0,17.11,17.29,357.11,322.09,9.62,6.46,0,3,0,38,19,110,0.173,33,5,2,36,8,4,2,1,48.0
0,289.73,199.6,116.87,95.45,873.33,591.85,0.18,0.15,307.23,246.53,39.64,46.0,48.82,60.38,432.29,296.18,43.9,40.0,17.8,18.9,70.91,67.67,17.11,18.36,357.11,321.19,9.62,20.0,1,4,0,55,19,151,0.238,55,5,6,83,13,2,22,2,73.0
2,289.73,313.4,116.87,125.27,873.33,832.47,0.18,0.23,307.23,311.07,39.64,42.08,48.82,56.57,432.29,363.29,43.9,39.25,17.8,18.73,70.91,88.33,17.11,23.17,357.11,401.29,9.62,8.75,0,4,0,51,23,164,0.171,50,3,4,85,11,3,8,0,61.0
0,289.73,246.72,116.87,100.11,873.33,683.94,0.18,0.12,307.23,293.0,39.64,53.0,48.82,64.55,432.29,368.07,43.9,50.7,17.8,25.12,70.91,105.0,17.11,22.22,357.11,406.93,9.62,12.6,0,3,0,30,16,123,0.114,29,3,6,66,2,1,10,0,39.0
2,289.73,264.31,116.87,121.44,873.33,721.81,0.18,0.21,307.23,279.64,39.64,47.82,48.82,81.64,432.29,325.36,43.9,44.67,17.8,21.83,70.91,79.0,17.11,24.7,357.11,357.93,9.62,16.67,0,5,0,49,20,165,0.176,40,5,7,63,7,3,12,2,63.0
